iter	Logloss
0	0.6868710499
1	0.6820745294
2	0.6772629185
3	0.673254362
4	0.6695712164
5	0.6661294875
6	0.6630997821
7	0.660046663
8	0.6573161837
9	0.6541446517
10	0.6517202395
11	0.6493212127
12	0.6476043303
13	0.6457618058
14	0.6444046525
15	0.6425376113
16	0.6403508708
17	0.6388837713
18	0.6376993813
19	0.6360637691
20	0.6349390862
21	0.6337166697
22	0.6324766602
23	0.6318663854
24	0.6308367864
25	0.6299390515
26	0.6288240008
27	0.6283733235
28	0.6274502699
29	0.626702128
30	0.6254675688
31	0.6250743338
32	0.6241579857
33	0.6235896541
34	0.6229487256
35	0.6224083536
36	0.6217268361
37	0.6213807593
38	0.621084868
39	0.619887134
40	0.6188013146
41	0.6181697153
42	0.6173683275
43	0.6169011952
44	0.6163881736
45	0.6161106487
46	0.6155871098
47	0.6152379431
48	0.6147927406
49	0.6144143658
50	0.6141288444
51	0.6135821059
52	0.6128195192
53	0.6125432597
54	0.6119996855
55	0.6115901966
56	0.6111733595
57	0.6108467889
58	0.6106050654
59	0.610272812
60	0.609644759
61	0.6092766491
62	0.6089700422
63	0.6088267558
64	0.608428532
65	0.6081663429
66	0.60801307
67	0.6077359316
68	0.6074168195
69	0.6070397063
70	0.6065387887
71	0.6058632988
72	0.6057452436
73	0.6055589351
74	0.605393999
75	0.6053353969
76	0.6051577465
77	0.6048495766
78	0.6046695705
79	0.6044783692
80	0.6040816089
81	0.6038719613
82	0.6036234618
83	0.6036022268
84	0.6035196783
85	0.6029068011
86	0.6027798019
87	0.6026398573
88	0.6025808053
89	0.6023928251
90	0.6021331346
91	0.6020093536
92	0.6019144019
93	0.601696967
94	0.6014892355
95	0.6013565995
96	0.6011971194
97	0.6009416911
98	0.6007903904
99	0.6005213614
100	0.6005213611
101	0.6004559168
102	0.6000772212
103	0.5996541864
104	0.5995099684
105	0.5993851636
106	0.5992490795
107	0.5991915148
108	0.599054537
109	0.5989924479
110	0.598730564
111	0.5985979841
112	0.5984562222
113	0.5982573593
114	0.5981741873
115	0.5979660486
116	0.5978627515
117	0.597763272
118	0.5975513156
119	0.5974333408
120	0.5972289984
121	0.596922731
122	0.5967504675
123	0.5966551868
124	0.5963439701
125	0.5963370511
126	0.5961153885
127	0.5959540524
128	0.5957439186
129	0.5957101887
130	0.5956593507
131	0.5956553829
132	0.595246789
133	0.5950882577
134	0.5949078766
135	0.5948092841
136	0.5947980456
137	0.5947395778
138	0.5946837412
139	0.5945315156
140	0.5942602815
141	0.59409287
142	0.5939434015
143	0.5937916853
144	0.5935778429
145	0.5934902582
146	0.5932916184
147	0.5931725327
148	0.5930615408
149	0.5929827777
150	0.5929055263
151	0.5927647592
152	0.5926537473
153	0.5924845595
154	0.5922207578
155	0.5920654187
156	0.5917997385
157	0.5917209478
158	0.591710369
159	0.591660913
160	0.5915820369
161	0.5914635789
162	0.5914219646
163	0.5913071029
164	0.5911519967
165	0.5909204934
166	0.5907657078
167	0.5906608588
168	0.5904773312
169	0.5902625674
170	0.5901932927
171	0.5899931817
172	0.589909383
173	0.5897008605
174	0.5895288807
175	0.5894120676
176	0.5892208007
177	0.5890536692
178	0.5889274719
179	0.5889042972
180	0.588797505
181	0.5886398431
182	0.5884965905
183	0.5883406192
184	0.5881940673
185	0.5881179465
186	0.5879166184
187	0.5878145607
188	0.5877459561
189	0.5876936243
190	0.5875332258
191	0.5873859913
192	0.5872605106
193	0.5872497451
194	0.587208376
195	0.5872076121
196	0.5871941918
197	0.5871326146
198	0.5871246549
199	0.5868396221
200	0.5865221977
201	0.5863415539
202	0.5860833649
203	0.5858918269
204	0.5858334174
205	0.5855993829
206	0.5855167269
207	0.5854572873
208	0.5853433333
209	0.5852976431
210	0.5851856014
211	0.5849829955
212	0.5848923101
213	0.5847486991
214	0.5846262056
215	0.5844920761
216	0.5843092256
217	0.5841573598
218	0.5841135885
219	0.5840148474
220	0.5838803338
221	0.5837314471
222	0.5836092759
223	0.5832668306
