iter	Passed	Remaining
0	27	139197
1	46	115772
2	66	110590
3	86	108405
4	106	106351
5	136	113963
6	160	114345
7	182	113916
8	201	111934
9	222	110839
10	240	109215
11	259	108070
12	283	108677
13	302	107589
14	321	106695
15	340	106010
16	356	104515
17	371	102919
18	387	101552
19	405	100987
20	424	100621
21	443	100271
22	463	100241
23	484	100428
24	504	100478
25	527	100909
26	549	101138
27	568	100968
28	588	100876
29	606	100522
30	625	100317
31	648	100644
32	671	101044
33	690	100797
34	710	100718
35	729	100650
36	748	100388
37	770	100567
38	790	100492
39	811	100627
40	830	100474
41	852	100597
42	873	100664
43	891	100433
44	914	100675
45	932	100456
46	953	100504
47	973	100383
48	991	100205
49	1011	100092
50	1032	100148
51	1050	99991
52	1071	99984
53	1088	99735
54	1107	99547
55	1127	99579
56	1147	99467
57	1168	99579
58	1189	99613
59	1207	99427
60	1226	99304
61	1242	98926
62	1257	98581
63	1275	98405
64	1293	98243
65	1310	97952
66	1325	97598
67	1341	97268
68	1357	97007
69	1374	96775
70	1390	96516
71	1408	96408
72	1429	96465
73	1448	96405
74	1466	96327
75	1482	96027
76	1499	95866
77	1515	95617
78	1530	95311
79	1546	95119
80	1563	94928
81	1578	94693
82	1594	94483
83	1611	94292
84	1626	94078
85	1642	93856
86	1659	93704
87	1674	93485
88	1691	93321
89	1707	93160
90	1723	92980
91	1740	92826
92	1756	92697
93	1773	92544
94	1789	92371
95	1805	92207
96	1820	92015
97	1835	91788
98	1854	91812
99	1871	91700
100	1888	91583
101	1905	91485
102	1920	91327
103	1938	91260
104	1954	91105
105	1970	90994
106	1987	90891
107	2003	90734
108	2019	90606
109	2033	90417
110	2050	90316
111	2066	90181
112	2084	90162
113	2101	90081
114	2119	90015
115	2136	89967
116	2152	89836
117	2168	89727
118	2184	89611
119	2199	89465
120	2215	89336
121	2232	89262
122	2249	89178
123	2265	89077
124	2279	88903
125	2296	88816
126	2311	88694
127	2327	88572
128	2345	88559
129	2362	88487
130	2377	88374
131	2393	88257
132	2407	88105
133	2423	88008
134	2442	88024
135	2458	87926
136	2473	87799
137	2490	87756
138	2506	87659
139	2522	87553
140	2537	87455
141	2552	87336
142	2569	87273
143	2585	87185
144	2600	87071
145	2615	86961
146	2631	86864
147	2648	86839
148	2664	86745
149	2679	86651
150	2696	86578
151	2711	86483
152	2727	86402
153	2743	86332
154	2759	86253
155	2778	86268
156	2794	86198
157	2809	86103
158	2825	86021
159	2843	86025
160	2859	85954
161	2876	85899
162	2892	85844
163	2910	85817
164	2925	85735
165	2941	85666
166	2957	85590
167	2974	85544
168	2990	85490
169	3005	85403
170	3024	85414
171	3040	85346
172	3055	85254
173	3071	85201
174	3088	85141
175	3104	85079
176	3119	85004
177	3135	84937
178	3150	84860
179	3167	84818
180	3186	84826
181	3201	84764
182	3217	84686
183	3233	84624
184	3249	84564
185	3266	84532
186	3281	84461
187	3297	84412
188	3314	84360
189	3330	84313
190	3346	84269
191	3363	84220
192	3378	84154
193	3395	84113
194	3413	84111
195	3427	84015
196	3444	83968
197	3461	83952
198	3477	83893
199	3494	83875
200	3510	83825
201	3527	83796
202	3546	83806
203	3563	83769
204	3578	83697
205	3593	83636
206	3612	83638
207	3626	83556
208	3642	83499
209	3658	83445
210	3676	83436
211	3694	83429
212	3709	83378
213	3724	83294
214	3742	83303
215	3762	83337
216	3778	83278
217	3793	83209
218	3809	83173
219	3826	83132
220	3846	83170
221	3862	83136
222	3878	83073
223	3894	83044
224	3913	83048
225	3928	82994
226	3945	82965
227	3962	82927
228	3977	82877
229	3994	82835
230	4009	82779
231	4025	82728
232	4042	82709
233	4060	82709
234	4076	82664
235	4091	82595
236	4106	82525
237	4124	82517
238	4138	82444
239	4151	82342
